contrast	contrast_pretty	channel	frequency_hz	time_s	difference_db	in_corrected_cluster
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.72	0.0737261743499683	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.72	0.0468698333089168	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.72	0.00391262554778503	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.72	-0.00468148887515641	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.76	-0.580580698612791	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.76	-0.61044109508825	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.76	-0.596297371272857	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.76	-0.468983150414155	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.76	-0.319032347259613	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.76	-0.173098801993407	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.76	-0.0101864819343273	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.76	0.0390531284591326	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.76	0.02324310124207	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.76	-0.0477343210234092	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.76	-0.131427477078082	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.76	-0.218230778458886	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.76	-0.29947314139169	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.76	-0.341557680844114	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.8	-0.507084110035346	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.8	-0.543387310436139	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.8	-0.573680711981769	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.8	-0.481808849073087	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.8	-0.322856467826149	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.8	-0.152506577280852	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.8	-0.0331636652923547	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.8	-0.015433317121978	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.8	-0.0285836494384477	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.8	-0.0544386613720025	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.8	-0.0791273151810926	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.8	-0.0870372623635026	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.8	-0.0715108195033211	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.8	-0.0956316594965756	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.84	-0.4274402065919	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.84	-0.501812307593914	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.84	-0.575021580148202	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.84	-0.519841500199758	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	12	0.84	-0.392259978904174	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	14	0.84	-0.201435926383755	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	16	0.84	-0.0163690503686666	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	18	0.84	0.0526193174524591	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	20	0.84	0.0284696544090716	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	22	0.84	0.0118771121622278	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	24	0.84	0.0226572117983149	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	26	0.84	0.0516683202810012	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	28	0.84	0.110850844281511	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	30	0.84	0.109094049100979	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	4	0.88	-0.349524606019258	0
Memorize_minus_Ignore	Memorize - Ignore	CP3	6	0.88	-0.495508700752488	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	8	0.88	-0.577803179621696	1
Memorize_minus_Ignore	Memorize - Ignore	CP3	10	0.88	-0.562779892809116	1
