contrast	frequency_hz	time_s	cluster_member_channel_count
Probe_minus_Memorize	6	0.04	0
Probe_minus_Memorize	8	0.04	20
Probe_minus_Memorize	10	0.04	34
Probe_minus_Memorize	12	0.04	18
Probe_minus_Memorize	14	0.04	5
Probe_minus_Memorize	16	0.04	5
Probe_minus_Memorize	18	0.04	11
Probe_minus_Memorize	20	0.04	11
Probe_minus_Memorize	22	0.04	11
Probe_minus_Memorize	24	0.04	3
Probe_minus_Memorize	26	0.04	0
Probe_minus_Memorize	28	0.04	0
Probe_minus_Memorize	30	0.04	0
Probe_minus_Memorize	4	0.0800000000000001	0
Probe_minus_Memorize	6	0.0800000000000001	0
Probe_minus_Memorize	8	0.0800000000000001	34
Probe_minus_Memorize	10	0.0800000000000001	43
Probe_minus_Memorize	12	0.0800000000000001	34
Probe_minus_Memorize	14	0.0800000000000001	13
Probe_minus_Memorize	16	0.0800000000000001	5
Probe_minus_Memorize	18	0.0800000000000001	12
Probe_minus_Memorize	20	0.0800000000000001	22
Probe_minus_Memorize	22	0.0800000000000001	22
Probe_minus_Memorize	24	0.0800000000000001	27
Probe_minus_Memorize	26	0.0800000000000001	14
Probe_minus_Memorize	28	0.0800000000000001	0
Probe_minus_Memorize	30	0.0800000000000001	0
Probe_minus_Memorize	4	0.12	0
Probe_minus_Memorize	6	0.12	0
Probe_minus_Memorize	8	0.12	41
Probe_minus_Memorize	10	0.12	55
Probe_minus_Memorize	12	0.12	41
Probe_minus_Memorize	14	0.12	18
Probe_minus_Memorize	16	0.12	5
Probe_minus_Memorize	18	0.12	13
Probe_minus_Memorize	20	0.12	18
Probe_minus_Memorize	22	0.12	12
Probe_minus_Memorize	24	0.12	10
Probe_minus_Memorize	26	0.12	4
Probe_minus_Memorize	28	0.12	0
Probe_minus_Memorize	30	0.12	0
Probe_minus_Memorize	4	0.16	0
Probe_minus_Memorize	6	0.16	0
Probe_minus_Memorize	8	0.16	50
Probe_minus_Memorize	10	0.16	64
Probe_minus_Memorize	12	0.16	49
Probe_minus_Memorize	14	0.16	35
Probe_minus_Memorize	16	0.16	21
Probe_minus_Memorize	18	0.16	23
Probe_minus_Memorize	20	0.16	19
Probe_minus_Memorize	22	0.16	20
Probe_minus_Memorize	24	0.16	13
Probe_minus_Memorize	26	0.16	7
Probe_minus_Memorize	28	0.16	0
Probe_minus_Memorize	30	0.16	0
Probe_minus_Memorize	4	0.2	0
Probe_minus_Memorize	6	0.2	0
Probe_minus_Memorize	8	0.2	62
Probe_minus_Memorize	10	0.2	69
Probe_minus_Memorize	12	0.2	59
Probe_minus_Memorize	14	0.2	41
Probe_minus_Memorize	16	0.2	35
Probe_minus_Memorize	18	0.2	40
Probe_minus_Memorize	20	0.2	46
Probe_minus_Memorize	22	0.2	48
Probe_minus_Memorize	24	0.2	46
Probe_minus_Memorize	26	0.2	37
Probe_minus_Memorize	28	0.2	26
Probe_minus_Memorize	30	0.2	12
Probe_minus_Memorize	4	0.24	0
Probe_minus_Memorize	6	0.24	0
Probe_minus_Memorize	8	0.24	66
Probe_minus_Memorize	10	0.24	69
Probe_minus_Memorize	12	0.24	65
Probe_minus_Memorize	14	0.24	46
Probe_minus_Memorize	16	0.24	47
Probe_minus_Memorize	18	0.24	52
Probe_minus_Memorize	20	0.24	48
Probe_minus_Memorize	22	0.24	49
Probe_minus_Memorize	24	0.24	58
Probe_minus_Memorize	26	0.24	60
Probe_minus_Memorize	28	0.24	63
Probe_minus_Memorize	30	0.24	61
Probe_minus_Memorize	4	0.28	0
Probe_minus_Memorize	6	0.28	0
Probe_minus_Memorize	8	0.28	69
Probe_minus_Memorize	10	0.28	69
Probe_minus_Memorize	12	0.28	69
Probe_minus_Memorize	14	0.28	59
Probe_minus_Memorize	16	0.28	56
Probe_minus_Memorize	18	0.28	56
Probe_minus_Memorize	20	0.28	47
Probe_minus_Memorize	22	0.28	46
Probe_minus_Memorize	24	0.28	51
Probe_minus_Memorize	26	0.28	51
Probe_minus_Memorize	28	0.28	46
Probe_minus_Memorize	30	0.28	33
Probe_minus_Memorize	4	0.32	0
Probe_minus_Memorize	6	0.32	0
Probe_minus_Memorize	8	0.32	69
Probe_minus_Memorize	10	0.32	69
Probe_minus_Memorize	12	0.32	69
Probe_minus_Memorize	14	0.32	68
Probe_minus_Memorize	16	0.32	61
Probe_minus_Memorize	18	0.32	67
Probe_minus_Memorize	20	0.32	57
Probe_minus_Memorize	22	0.32	47
Probe_minus_Memorize	24	0.32	48
Probe_minus_Memorize	26	0.32	46
Probe_minus_Memorize	28	0.32	45
Probe_minus_Memorize	30	0.32	41
Probe_minus_Memorize	4	0.36	0
Probe_minus_Memorize	6	0.36	0
Probe_minus_Memorize	8	0.36	69
Probe_minus_Memorize	10	0.36	69
Probe_minus_Memorize	12	0.36	69
Probe_minus_Memorize	14	0.36	68
Probe_minus_Memorize	16	0.36	69
Probe_minus_Memorize	18	0.36	68
Probe_minus_Memorize	20	0.36	67
Probe_minus_Memorize	22	0.36	63
Probe_minus_Memorize	24	0.36	60
Probe_minus_Memorize	26	0.36	55
Probe_minus_Memorize	28	0.36	47
Probe_minus_Memorize	30	0.36	46
Probe_minus_Memorize	4	0.4	0
Probe_minus_Memorize	6	0.4	0
Probe_minus_Memorize	8	0.4	69
Probe_minus_Memorize	10	0.4	69
Probe_minus_Memorize	12	0.4	69
Probe_minus_Memorize	14	0.4	69
Probe_minus_Memorize	16	0.4	69
Probe_minus_Memorize	18	0.4	69
Probe_minus_Memorize	20	0.4	67
Probe_minus_Memorize	22	0.4	66
Probe_minus_Memorize	24	0.4	59
Probe_minus_Memorize	26	0.4	47
Probe_minus_Memorize	28	0.4	39
Probe_minus_Memorize	30	0.4	38
Probe_minus_Memorize	4	0.44	0
Probe_minus_Memorize	6	0.44	8
Probe_minus_Memorize	8	0.44	69
Probe_minus_Memorize	10	0.44	69
Probe_minus_Memorize	12	0.44	69
Probe_minus_Memorize	14	0.44	69
Probe_minus_Memorize	16	0.44	69
